courier_id,available_from,starting_area_hint,courier_lat,courier_lng,vehicle_type,bundle_capacity
CR-500,2025-01-15 17:34:00,Al Waab,25.276424,51.464537,car,3
CR-501,2025-01-15 17:43:00,Lusail,25.413708,51.513076,car,3
CR-502,2025-01-15 17:01:00,Old Airport,25.247036,51.552521,car,4
CR-503,2025-01-15 17:14:00,Al Sadd,25.332709,51.499281,bike,2
CR-504,2025-01-15 17:06:00,Al Sadd,25.292964,51.478793,bike,3
CR-505,2025-01-15 17:39:00,The Pearl,25.370444,51.551256,car,4
CR-506,2025-01-15 17:33:00,Old Airport,25.232243,51.565287,motorbike,3
CR-507,2025-01-15 17:34:00,Lusail,25.421816,51.508586,bike,2
CR-508,2025-01-15 17:21:00,Old Airport,25.240294,51.564402,car,4
CR-509,2025-01-15 17:23:00,Al Sadd,25.286448,51.498559,bike,2
CR-510,2025-01-15 17:41:00,Lusail,25.414416,51.500657,bike,2
CR-511,2025-01-15 17:40:00,West Bay,25.324321,51.521863,motorbike,3
CR-512,2025-01-15 17:38:00,Al Sadd,25.302515,51.498178,bike,2
CR-513,2025-01-15 17:08:00,Old Airport,25.237188,51.566311,bike,2
CR-514,2025-01-15 17:31:00,Old Airport,25.217844,51.56951,bike,2
CR-515,2025-01-15 17:04:00,West Bay,25.31809,51.509949,car,4
CR-516,2025-01-15 17:49:00,Al Sadd,25.281823,51.480657,bike,2
CR-517,2025-01-15 17:54:00,West Bay,25.336096,51.497836,car,3
CR-518,2025-01-15 17:39:00,Old Airport,25.249063,51.555391,car,3
CR-519,2025-01-15 17:27:00,Lusail,25.417195,51.502329,car,3
CR-520,2025-01-15 17:01:00,Al Sadd,25.262274,51.472686,car,4
CR-521,2025-01-15 17:23:00,Al Sadd,25.294154,51.475322,bike,2
CR-522,2025-01-15 17:26:00,West Bay,25.312022,51.503734,motorbike,2
CR-523,2025-01-15 17:54:00,West Bay,25.320719,51.512154,car,4
CR-524,2025-01-15 17:36:00,Al Waab,25.263985,51.477422,bike,2
CR-525,2025-01-15 17:03:00,The Pearl,25.378176,51.554087,bike,2
CR-526,2025-01-15 17:23:00,Old Airport,25.261016,51.565089,car,4
CR-527,2025-01-15 17:54:00,Al Waab,25.262176,51.450038,car,2
CR-528,2025-01-15 17:11:00,Old Airport,25.244223,51.543059,motorbike,3
CR-529,2025-01-15 17:40:00,The Pearl,25.374196,51.541144,bike,2
CR-530,2025-01-15 17:10:00,West Bay,25.318205,51.506399,motorbike,2
CR-531,2025-01-15 17:18:00,Al Sadd,25.321773,51.498815,bike,2
CR-532,2025-01-15 18:00:00,Al Sadd,25.299523,51.513692,motorbike,4
CR-533,2025-01-15 17:34:00,West Bay,25.318264,51.512426,car,2
CR-534,2025-01-15 17:05:00,West Bay,25.3163,51.515545,motorbike,3
CR-535,2025-01-15 17:17:00,West Bay,25.318541,51.512376,bike,2
CR-536,2025-01-15 17:02:00,West Bay,25.326259,51.51683,bike,2
CR-537,2025-01-15 17:33:00,The Pearl,25.376415,51.544775,motorbike,4
CR-538,2025-01-15 17:14:00,The Pearl,25.379593,51.538995,bike,2
CR-539,2025-01-15 17:34:00,Al Sadd,25.268917,51.503931,car,4
CR-540,2025-01-15 17:48:00,Al Sadd,25.283419,51.501018,motorbike,3
CR-541,2025-01-15 17:17:00,West Bay,25.313494,51.517447,motorbike,3
CR-542,2025-01-15 17:21:00,Old Airport,25.242031,51.561341,car,4
CR-543,2025-01-15 17:42:00,Lusail,25.392331,51.512746,motorbike,3
CR-544,2025-01-15 17:28:00,Al Waab,25.280617,51.456397,bike,2
CR-545,2025-01-15 17:49:00,Lusail,25.424459,51.497601,bike,2
CR-546,2025-01-15 17:45:00,Old Airport,25.24554,51.565768,bike,2
CR-547,2025-01-15 17:19:00,Lusail,25.379693,51.520909,bike,2
CR-548,2025-01-15 17:09:00,The Pearl,25.378068,51.546933,bike,2
CR-549,2025-01-15 17:05:00,Old Airport,25.250372,51.555705,motorbike,3
CR-550,2025-01-15 17:24:00,Old Airport,25.240842,51.569798,car,4
CR-551,2025-01-15 17:04:00,Al Waab,25.277994,51.474105,motorbike,3
CR-552,2025-01-15 17:51:00,Al Waab,25.235829,51.457551,bike,3
CR-553,2025-01-15 17:08:00,Lusail,25.412951,51.508156,car,4
CR-554,2025-01-15 17:53:00,West Bay,25.326471,51.519498,bike,2
CR-555,2025-01-15 17:55:00,The Pearl,25.367123,51.551598,car,4
CR-556,2025-01-15 17:08:00,The Pearl,25.366419,51.552778,motorbike,3
CR-557,2025-01-15 17:40:00,Al Sadd,25.290218,51.508359,motorbike,3
CR-558,2025-01-15 17:48:00,The Pearl,25.3783,51.544325,bike,2
CR-559,2025-01-15 17:18:00,Lusail,25.412564,51.512806,motorbike,4
CR-560,2025-01-15 17:21:00,Lusail,25.404096,51.496763,motorbike,3
CR-561,2025-01-15 17:57:00,West Bay,25.3178,51.516344,bike,2
CR-562,2025-01-15 17:41:00,Al Sadd,25.269594,51.479777,car,2
CR-563,2025-01-15 17:25:00,Al Sadd,25.27802,51.499419,motorbike,2
CR-564,2025-01-15 17:54:00,Old Airport,25.248512,51.557229,car,4
CR-565,2025-01-15 17:41:00,West Bay,25.308832,51.512565,bike,2
CR-566,2025-01-15 17:41:00,Al Sadd,25.276385,51.478961,bike,2
CR-567,2025-01-15 17:02:00,Al Sadd,25.29396,51.494201,bike,2
CR-568,2025-01-15 17:35:00,Lusail,25.395949,51.508151,motorbike,3
CR-569,2025-01-15 17:32:00,Al Waab,25.248777,51.483372,bike,2
CR-570,2025-01-15 17:08:00,The Pearl,25.364723,51.550478,car,4
CR-571,2025-01-15 17:08:00,Old Airport,25.257749,51.560632,bike,2
CR-572,2025-01-15 17:56:00,West Bay,25.325397,51.512557,motorbike,3
CR-573,2025-01-15 17:37:00,The Pearl,25.372556,51.547842,motorbike,2
CR-574,2025-01-15 17:17:00,Al Sadd,25.288262,51.496381,car,4
CR-575,2025-01-15 17:00:00,Old Airport,25.244999,51.555344,car,4
CR-576,2025-01-15 17:53:00,Al Waab,25.26913,51.449948,bike,2
CR-577,2025-01-15 17:05:00,The Pearl,25.376293,51.549539,motorbike,3
CR-578,2025-01-15 17:19:00,Old Airport,25.239099,51.556645,bike,2
CR-579,2025-01-15 17:46:00,Old Airport,25.233498,51.550781,bike,2
CR-580,2025-01-15 17:01:00,West Bay,25.31873,51.515687,bike,2
CR-581,2025-01-15 17:16:00,Al Waab,25.250766,51.454279,motorbike,3
CR-582,2025-01-15 17:59:00,Al Sadd,25.283071,51.502143,bike,2
CR-583,2025-01-15 17:30:00,The Pearl,25.371158,51.550727,bike,3
CR-584,2025-01-15 17:31:00,Al Sadd,25.296072,51.506754,bike,2
CR-585,2025-01-15 17:09:00,The Pearl,25.378842,51.550895,bike,2
CR-586,2025-01-15 17:18:00,Old Airport,25.250352,51.556344,car,4
CR-587,2025-01-15 17:38:00,Lusail,25.423264,51.495329,bike,2
CR-588,2025-01-15 17:53:00,Lusail,25.391541,51.490933,bike,2
CR-589,2025-01-15 17:07:00,Al Waab,25.261654,51.459255,bike,3
CR-590,2025-01-15 17:00:00,Al Waab,25.284962,51.464863,car,3
CR-591,2025-01-15 17:57:00,Lusail,25.381469,51.513144,bike,2
CR-592,2025-01-15 17:36:00,West Bay,25.325955,51.493187,bike,2
CR-593,2025-01-15 17:05:00,Lusail,25.413651,51.514629,car,3
CR-594,2025-01-15 17:37:00,Old Airport,25.261019,51.553596,car,4
CR-595,2025-01-15 17:57:00,Lusail,25.408605,51.50713,car,4
CR-596,2025-01-15 17:23:00,Old Airport,25.253642,51.569642,motorbike,3
CR-597,2025-01-15 17:31:00,West Bay,25.315207,51.500111,motorbike,3
CR-598,2025-01-15 17:26:00,Al Waab,25.26505,51.442676,car,4
CR-599,2025-01-15 17:12:00,Old Airport,25.237629,51.569448,motorbike,3
CR-600,2025-01-15 17:01:00,The Pearl,25.37241,51.541156,motorbike,3
CR-601,2025-01-15 17:21:00,Lusail,25.370875,51.464338,bike,2
CR-602,2025-01-15 17:13:00,Al Waab,25.253926,51.464113,car,4
CR-603,2025-01-15 17:21:00,Old Airport,25.248677,51.561425,bike,3
CR-604,2025-01-15 17:24:00,West Bay,25.304952,51.515756,car,4
CR-605,2025-01-15 17:52:00,Old Airport,25.254158,51.552656,car,4
CR-606,2025-01-15 17:47:00,West Bay,25.31868,51.516158,car,2
CR-607,2025-01-15 17:32:00,Old Airport,25.250849,51.554243,bike,2
CR-608,2025-01-15 17:30:00,Old Airport,25.240448,51.557739,car,4
CR-609,2025-01-15 17:23:00,The Pearl,25.37939,51.545516,bike,2
CR-610,2025-01-15 17:40:00,Lusail,25.406613,51.518032,car,4
CR-611,2025-01-15 17:28:00,Al Waab,25.24032,51.458899,motorbike,3
CR-612,2025-01-15 17:54:00,Old Airport,25.240019,51.540043,car,4
CR-613,2025-01-15 17:14:00,The Pearl,25.364088,51.551779,bike,2
CR-614,2025-01-15 17:21:00,West Bay,25.293779,51.501787,car,3
CR-615,2025-01-15 17:17:00,Al Sadd,25.282242,51.490239,car,4
CR-616,2025-01-15 17:19:00,Al Waab,25.252162,51.455228,motorbike,2
CR-617,2025-01-15 17:14:00,Lusail,25.440412,51.496675,car,4
CR-618,2025-01-15 17:44:00,West Bay,25.302915,51.513968,car,4
CR-619,2025-01-15 17:00:00,The Pearl,25.37466,51.551507,bike,2
CR-620,2025-01-15 17:36:00,Al Sadd,25.28238,51.485984,bike,2
CR-621,2025-01-15 17:51:00,Al Sadd,25.304855,51.503762,car,4
CR-622,2025-01-15 17:06:00,West Bay,25.326664,51.515762,motorbike,4
CR-623,2025-01-15 17:57:00,Al Waab,25.270302,51.439315,car,4
CR-624,2025-01-15 17:56:00,Al Waab,25.238913,51.471074,bike,2
CR-625,2025-01-15 17:54:00,Al Waab,25.249695,51.484975,motorbike,3
CR-626,2025-01-15 17:21:00,Al Sadd,25.291483,51.479836,motorbike,3
CR-627,2025-01-15 17:50:00,Old Airport,25.261635,51.546921,motorbike,3
CR-628,2025-01-15 17:10:00,Al Waab,25.259498,51.466674,motorbike,3
CR-629,2025-01-15 17:24:00,Al Sadd,25.326215,51.494605,bike,2
CR-630,2025-01-15 17:44:00,Old Airport,25.255905,51.549555,motorbike,4
CR-631,2025-01-15 17:40:00,The Pearl,25.366377,51.553605,bike,2
CR-632,2025-01-15 17:45:00,Al Sadd,25.2884,51.483973,bike,2
CR-633,2025-01-15 17:22:00,Al Sadd,25.308954,51.469541,motorbike,3
CR-634,2025-01-15 17:41:00,Al Sadd,25.280766,51.486747,bike,2
CR-635,2025-01-15 17:15:00,Al Sadd,25.280765,51.496095,bike,2
CR-636,2025-01-15 17:46:00,Al Sadd,25.275962,51.495089,car,4
CR-637,2025-01-15 17:08:00,Al Sadd,25.289772,51.504229,bike,2
CR-638,2025-01-15 17:37:00,Al Sadd,25.295634,51.473706,bike,2
CR-639,2025-01-15 17:41:00,Al Waab,25.250892,51.472825,bike,2
CR-640,2025-01-15 17:26:00,Al Waab,25.25418,51.474305,motorbike,4
CR-641,2025-01-15 17:01:00,West Bay,25.325483,51.520704,motorbike,2
CR-642,2025-01-15 17:23:00,The Pearl,25.377824,51.545253,bike,2
CR-643,2025-01-15 17:56:00,West Bay,25.334409,51.508653,bike,2
CR-644,2025-01-15 17:08:00,Al Sadd,25.284986,51.50019,bike,2
CR-645,2025-01-15 17:22:00,The Pearl,25.364129,51.554125,bike,2
CR-646,2025-01-15 17:24:00,Lusail,25.398438,51.514729,bike,2
CR-647,2025-01-15 17:02:00,Old Airport,25.240268,51.560124,car,4
CR-648,2025-01-15 17:05:00,Al Sadd,25.272784,51.513207,motorbike,3
CR-649,2025-01-15 17:41:00,Al Waab,25.264144,51.471624,car,4
CR-650,2025-01-15 17:50:00,Old Airport,25.219621,51.545629,motorbike,3
CR-651,2025-01-15 17:44:00,The Pearl,25.372902,51.541975,motorbike,3
CR-652,2025-01-15 17:26:00,Al Waab,25.258761,51.476819,car,3
CR-653,2025-01-15 17:16:00,Lusail,25.409871,51.516934,bike,2
CR-654,2025-01-15 17:41:00,The Pearl,25.375384,51.550471,bike,2
CR-655,2025-01-15 17:28:00,West Bay,25.324912,51.515803,bike,3
CR-656,2025-01-15 17:51:00,West Bay,25.323104,51.514523,motorbike,2
CR-657,2025-01-15 17:39:00,Old Airport,25.223816,51.55517,bike,2
CR-658,2025-01-15 17:11:00,Old Airport,25.241612,51.559917,car,3
CR-659,2025-01-15 17:50:00,Old Airport,25.249316,51.53513,car,3
CR-660,2025-01-15 17:33:00,Old Airport,25.222851,51.56848,bike,2
CR-661,2025-01-15 17:27:00,Al Sadd,25.289694,51.478542,motorbike,3
CR-662,2025-01-15 17:24:00,Al Sadd,25.297197,51.473838,motorbike,2
CR-663,2025-01-15 17:59:00,Al Sadd,25.309525,51.487114,car,4
CR-664,2025-01-15 17:38:00,The Pearl,25.36705,51.554058,car,4
CR-665,2025-01-15 17:56:00,Old Airport,25.247196,51.556523,car,4
CR-666,2025-01-15 17:29:00,Lusail,25.376191,51.495974,bike,2
CR-667,2025-01-15 17:06:00,Al Sadd,25.286308,51.501039,bike,2
CR-668,2025-01-15 17:36:00,West Bay,25.322673,51.519325,motorbike,3
CR-669,2025-01-15 17:45:00,Lusail,25.433238,51.512877,bike,3
CR-670,2025-01-15 17:07:00,Old Airport,25.253324,51.546127,bike,2
CR-671,2025-01-15 17:38:00,Al Waab,25.273573,51.470801,car,3
CR-672,2025-01-15 17:31:00,Lusail,25.398525,51.494913,motorbike,2
CR-673,2025-01-15 17:32:00,West Bay,25.325306,51.510264,bike,2
CR-674,2025-01-15 17:48:00,Old Airport,25.240064,51.558816,motorbike,3
CR-675,2025-01-15 17:18:00,West Bay,25.312926,51.508639,motorbike,2
CR-676,2025-01-15 17:13:00,Al Waab,25.237322,51.46269,car,3
CR-677,2025-01-15 17:49:00,West Bay,25.308383,51.510036,motorbike,2
CR-678,2025-01-15 17:22:00,West Bay,25.30784,51.513648,motorbike,2
CR-679,2025-01-15 17:36:00,Lusail,25.408556,51.521538,bike,2
CR-680,2025-01-15 17:21:00,Lusail,25.395146,51.49911,motorbike,3
CR-681,2025-01-15 17:06:00,Old Airport,25.236706,51.562727,bike,2
CR-682,2025-01-15 17:47:00,Al Sadd,25.280647,51.477812,car,2
CR-683,2025-01-15 17:30:00,Lusail,25.398414,51.479199,motorbike,2
CR-684,2025-01-15 17:47:00,Al Sadd,25.281103,51.488675,motorbike,3
CR-685,2025-01-15 17:10:00,Al Waab,25.225414,51.468617,motorbike,3
CR-686,2025-01-15 17:45:00,Al Waab,25.246952,51.470504,motorbike,3
CR-687,2025-01-15 17:36:00,Al Waab,25.2381,51.452446,motorbike,2
CR-688,2025-01-15 17:25:00,Old Airport,25.249743,51.566288,bike,2
CR-689,2025-01-15 17:35:00,Al Waab,25.263725,51.458081,motorbike,3
CR-690,2025-01-15 17:15:00,Lusail,25.407774,51.508825,motorbike,3
CR-691,2025-01-15 17:27:00,Al Waab,25.242777,51.487364,bike,2
CR-692,2025-01-15 17:10:00,Old Airport,25.239277,51.556097,car,4
CR-693,2025-01-15 17:26:00,The Pearl,25.37285,51.543924,bike,2
CR-694,2025-01-15 17:29:00,Al Sadd,25.283977,51.506386,motorbike,3
CR-695,2025-01-15 17:19:00,West Bay,25.321023,51.513426,car,2
CR-696,2025-01-15 17:35:00,West Bay,25.318252,51.516813,motorbike,2
CR-697,2025-01-15 17:06:00,Old Airport,25.252847,51.549028,bike,2
CR-698,2025-01-15 17:27:00,Al Waab,25.274398,51.470957,car,3
CR-699,2025-01-15 17:56:00,West Bay,25.331227,51.514673,bike,2
CR-700,2025-01-15 17:12:00,Al Waab,25.238952,51.470101,motorbike,3
CR-701,2025-01-15 17:45:00,The Pearl,25.361295,51.553006,bike,2
CR-702,2025-01-15 17:06:00,Al Sadd,25.302752,51.49402,motorbike,3
CR-703,2025-01-15 17:26:00,The Pearl,25.376746,51.54644,car,3
CR-704,2025-01-15 18:00:00,Lusail,25.442397,51.500784,bike,2
CR-705,2025-01-15 17:37:00,The Pearl,25.369439,51.552885,car,4
CR-706,2025-01-15 17:13:00,Al Waab,25.262339,51.436727,bike,2
CR-707,2025-01-15 17:45:00,Old Airport,25.250257,51.560936,bike,2
CR-708,2025-01-15 17:46:00,Old Airport,25.234476,51.566487,car,3
CR-709,2025-01-15 17:09:00,Lusail,25.379205,51.49425,bike,2
CR-710,2025-01-15 17:55:00,Al Sadd,25.283143,51.491326,car,4
CR-711,2025-01-15 18:00:00,Lusail,25.397481,51.493451,motorbike,3
CR-712,2025-01-15 17:26:00,Lusail,25.420777,51.513705,car,4
CR-713,2025-01-15 17:59:00,The Pearl,25.372187,51.554165,motorbike,3
CR-714,2025-01-15 17:32:00,Al Waab,25.257385,51.483523,bike,2
CR-715,2025-01-15 17:26:00,Al Waab,25.227882,51.492476,motorbike,2
CR-716,2025-01-15 17:32:00,Al Waab,25.269114,51.444676,car,2
CR-717,2025-01-15 17:09:00,The Pearl,25.374339,51.539619,bike,2
CR-718,2025-01-15 17:01:00,Old Airport,25.217303,51.549573,bike,2
CR-719,2025-01-15 17:33:00,Al Waab,25.235251,51.466787,car,4
CR-720,2025-01-15 17:46:00,Old Airport,25.248059,51.55026,motorbike,2
CR-721,2025-01-15 17:09:00,West Bay,25.31668,51.514261,motorbike,3
CR-722,2025-01-15 17:32:00,West Bay,25.335817,51.518715,bike,2
CR-723,2025-01-15 17:29:00,The Pearl,25.364475,51.553187,bike,2
CR-724,2025-01-15 17:28:00,Lusail,25.396243,51.496589,car,4
CR-725,2025-01-15 17:42:00,Al Waab,25.228149,51.448029,bike,3
CR-726,2025-01-15 17:26:00,Old Airport,25.256969,51.546247,bike,2
CR-727,2025-01-15 17:12:00,Old Airport,25.21649,51.563649,car,4
CR-728,2025-01-15 17:51:00,Old Airport,25.261308,51.543142,bike,2
CR-729,2025-01-15 17:08:00,The Pearl,25.362323,51.551021,bike,2
CR-730,2025-01-15 17:47:00,West Bay,25.334227,51.517178,car,3
CR-731,2025-01-15 17:18:00,Al Sadd,25.308311,51.500204,motorbike,3
CR-732,2025-01-15 17:09:00,Al Waab,25.269799,51.477051,bike,2
CR-733,2025-01-15 17:12:00,The Pearl,25.367063,51.553048,bike,3
CR-734,2025-01-15 17:39:00,West Bay,25.346381,51.507322,motorbike,3
CR-735,2025-01-15 17:38:00,The Pearl,25.376659,51.552823,car,4
CR-736,2025-01-15 17:53:00,Al Waab,25.270537,51.438894,motorbike,2
CR-737,2025-01-15 17:16:00,The Pearl,25.376628,51.538578,bike,2
CR-738,2025-01-15 17:29:00,Al Sadd,25.319226,51.49708,bike,2
CR-739,2025-01-15 17:22:00,West Bay,25.325713,51.517334,motorbike,3
CR-740,2025-01-15 17:42:00,West Bay,25.315344,51.513475,car,4
CR-741,2025-01-15 17:31:00,West Bay,25.323711,51.519392,motorbike,3
