courier_id,available_from,starting_area_hint,courier_lat,courier_lng,vehicle_type,bundle_capacity
CR-HYBRID-0,2025-01-15 17:06:00,Al Waab,25.272916,51.452281,bike,2
CR-HYBRID-1,2025-01-15 17:48:00,West Bay,25.313946,51.517707,bike,2
CR-HYBRID-2,2025-01-15 17:23:00,Roaming,25.420001,51.429218,car,2
CR-HYBRID-3,2025-01-15 17:09:00,Al Sadd,25.288395,51.481794,motorbike,2
CR-HYBRID-4,2025-01-15 17:37:00,Roaming,25.227481,51.405663,bike,2
CR-HYBRID-5,2025-01-15 17:56:00,The Pearl,25.373157,51.553384,car,4
CR-HYBRID-6,2025-01-15 17:35:00,Al Sadd,25.301189,51.498647,car,2
CR-HYBRID-7,2025-01-15 18:00:00,Al Sadd,25.291852,51.51118,bike,2
CR-HYBRID-8,2025-01-15 17:00:00,West Bay,25.319372,51.512456,car,4
CR-HYBRID-9,2025-01-15 17:52:00,West Bay,25.326354,51.508297,car,3
CR-HYBRID-10,2025-01-15 17:15:00,West Bay,25.32492,51.519318,car,4
CR-HYBRID-11,2025-01-15 17:46:00,Lusail,25.412577,51.477037,bike,2
CR-HYBRID-12,2025-01-15 17:11:00,Al Waab,25.262016,51.470578,car,3
CR-HYBRID-13,2025-01-15 17:12:00,West Bay,25.307617,51.514825,motorbike,3
CR-HYBRID-14,2025-01-15 17:23:00,West Bay,25.31503,51.512098,bike,2
CR-HYBRID-15,2025-01-15 17:17:00,Old Airport,25.235072,51.542196,motorbike,4
CR-HYBRID-16,2025-01-15 17:40:00,Al Waab,25.282409,51.460941,motorbike,3
CR-HYBRID-17,2025-01-15 17:15:00,Old Airport,25.236245,51.569129,motorbike,3
CR-HYBRID-18,2025-01-15 17:58:00,Al Sadd,25.275486,51.493004,bike,2
CR-HYBRID-19,2025-01-15 17:20:00,Old Airport,25.240024,51.565678,motorbike,3
CR-HYBRID-20,2025-01-15 17:49:00,Al Waab,25.269299,51.476894,bike,2
CR-HYBRID-21,2025-01-15 17:35:00,Al Waab,25.271035,51.461438,motorbike,2
CR-HYBRID-22,2025-01-15 17:35:00,The Pearl,25.376286,51.550075,bike,2
CR-HYBRID-23,2025-01-15 17:43:00,Roaming,25.306713,51.415749,car,4
CR-HYBRID-24,2025-01-15 17:29:00,Al Waab,25.268323,51.459624,bike,2
CR-HYBRID-25,2025-01-15 17:37:00,Roaming,25.38959,51.524832,car,4
CR-HYBRID-26,2025-01-15 17:47:00,Lusail,25.397499,51.516416,car,2
CR-HYBRID-27,2025-01-15 17:39:00,Old Airport,25.231495,51.564679,car,4
CR-HYBRID-28,2025-01-15 17:12:00,The Pearl,25.371779,51.551392,motorbike,3
CR-HYBRID-29,2025-01-15 17:05:00,West Bay,25.32573,51.515342,motorbike,3
CR-HYBRID-30,2025-01-15 17:19:00,Old Airport,25.233143,51.563514,motorbike,3
CR-HYBRID-31,2025-01-15 17:46:00,Roaming,25.360464,51.443893,bike,2
CR-HYBRID-32,2025-01-15 17:58:00,Roaming,25.34431,51.454089,car,3
CR-HYBRID-33,2025-01-15 17:46:00,Roaming,25.433993,51.479964,bike,2
CR-HYBRID-34,2025-01-15 17:49:00,The Pearl,25.3723,51.554258,motorbike,3
CR-HYBRID-35,2025-01-15 17:54:00,Old Airport,25.237685,51.553414,bike,2
CR-HYBRID-36,2025-01-15 17:51:00,Al Waab,25.251585,51.458375,car,4
CR-HYBRID-37,2025-01-15 17:11:00,The Pearl,25.378558,51.550034,bike,2
CR-HYBRID-38,2025-01-15 17:28:00,West Bay,25.330762,51.501555,bike,2
CR-HYBRID-39,2025-01-15 17:46:00,Roaming,25.409693,51.401872,motorbike,2
CR-HYBRID-40,2025-01-15 17:50:00,West Bay,25.309338,51.515187,bike,2
CR-HYBRID-41,2025-01-15 17:13:00,The Pearl,25.370886,51.553983,motorbike,3
CR-HYBRID-42,2025-01-15 17:23:00,Old Airport,25.247557,51.562991,motorbike,3
CR-HYBRID-43,2025-01-15 17:21:00,West Bay,25.324224,51.515784,motorbike,3
CR-HYBRID-44,2025-01-15 17:42:00,Roaming,25.366609,51.55301,car,4
CR-HYBRID-45,2025-01-15 17:44:00,Lusail,25.40659,51.510984,car,4
CR-HYBRID-46,2025-01-15 17:05:00,Roaming,25.425635,51.426075,car,4
CR-HYBRID-47,2025-01-15 17:19:00,Old Airport,25.250545,51.547949,bike,2
