courier_id,available_from,starting_area_hint,courier_lat,courier_lng,vehicle_type,bundle_capacity
CR-HYBRID-0,2025-01-15 18:00:00,Al Sadd,25.295611,51.508639,motorbike,4
CR-HYBRID-1,2025-01-15 17:39:00,Old Airport,25.243557,51.555251,car,4
CR-HYBRID-2,2025-01-15 17:53:00,Old Airport,25.235513,51.561738,car,4
CR-HYBRID-3,2025-01-15 17:45:00,Al Waab,25.273587,51.481467,motorbike,3
CR-HYBRID-4,2025-01-15 17:40:00,Al Sadd,25.274867,51.471561,bike,2
CR-HYBRID-5,2025-01-15 17:33:00,Lusail,25.375824,51.493492,bike,2
CR-HYBRID-6,2025-01-15 17:06:00,Lusail,25.38914,51.510748,motorbike,3
CR-HYBRID-7,2025-01-15 17:48:00,Lusail,25.422295,51.501262,car,2
CR-HYBRID-8,2025-01-15 17:44:00,West Bay,25.312517,51.517786,car,3
CR-HYBRID-9,2025-01-15 17:16:00,Old Airport,25.239505,51.548015,motorbike,3
CR-HYBRID-10,2025-01-15 17:11:00,Roaming,25.441828,51.413887,motorbike,3
CR-HYBRID-11,2025-01-15 17:18:00,Roaming,25.386932,51.474179,bike,2
CR-HYBRID-12,2025-01-15 17:54:00,Roaming,25.227062,51.538576,bike,2
CR-HYBRID-13,2025-01-15 17:01:00,Al Sadd,25.300237,51.479752,car,3
CR-HYBRID-14,2025-01-15 17:24:00,Roaming,25.20762,51.513434,motorbike,3
CR-HYBRID-15,2025-01-15 17:19:00,Lusail,25.396075,51.490314,motorbike,3
CR-HYBRID-16,2025-01-15 17:18:00,Al Waab,25.259702,51.442558,car,3
CR-HYBRID-17,2025-01-15 18:00:00,The Pearl,25.369651,51.550226,motorbike,2
CR-HYBRID-18,2025-01-15 17:30:00,Roaming,25.424371,51.432242,car,3
CR-HYBRID-19,2025-01-15 17:11:00,Roaming,25.239656,51.436684,motorbike,3
CR-HYBRID-20,2025-01-15 17:33:00,West Bay,25.327579,51.51885,car,4
CR-HYBRID-21,2025-01-15 17:26:00,Lusail,25.424131,51.508033,motorbike,3
CR-HYBRID-22,2025-01-15 17:28:00,Al Waab,25.250346,51.460773,car,4
CR-HYBRID-23,2025-01-15 17:23:00,The Pearl,25.375518,51.54467,bike,2
CR-HYBRID-24,2025-01-15 17:39:00,Al Waab,25.262128,51.450315,motorbike,3
