courier_id,available_from,starting_area_hint,courier_lat,courier_lng,vehicle_type,bundle_capacity
CR-SPREAD-500,2025-01-15 17:34:00,Roving/CityCenter,25.228651,51.55684,motorbike,3
CR-SPREAD-501,2025-01-15 17:53:00,Roving/CityCenter,25.262722,51.539401,bike,2
CR-SPREAD-502,2025-01-15 17:17:00,Roving/CityCenter,25.29121,51.496109,motorbike,4
CR-SPREAD-503,2025-01-15 17:17:00,Roving/CityCenter,25.208744,51.504445,bike,2
CR-SPREAD-504,2025-01-15 17:40:00,Roving/CityCenter,25.253524,51.454772,bike,2
CR-SPREAD-505,2025-01-15 18:00:00,Roving/CityCenter,25.248555,51.475269,car,4
CR-SPREAD-506,2025-01-15 17:30:00,Roving/CityCenter,25.21709,51.429911,bike,2
CR-SPREAD-507,2025-01-15 17:40:00,Roving/CityCenter,25.357812,51.513371,car,2
CR-SPREAD-508,2025-01-15 17:48:00,Roving/CityCenter,25.37908,51.480933,bike,2
CR-SPREAD-509,2025-01-15 17:17:00,Roving/CityCenter,25.289899,51.478344,bike,2
CR-SPREAD-510,2025-01-15 17:59:00,Roving/CityCenter,25.18142,51.553954,car,4
CR-SPREAD-511,2025-01-15 17:28:00,Roving/CityCenter,25.303591,51.469193,motorbike,2
CR-SPREAD-512,2025-01-15 17:54:00,Roving/CityCenter,25.241794,51.448099,motorbike,4
CR-SPREAD-513,2025-01-15 17:56:00,Roving/CityCenter,25.222472,51.462716,motorbike,3
CR-SPREAD-514,2025-01-15 17:30:00,Roving/CityCenter,25.303752,51.468384,bike,2
CR-SPREAD-515,2025-01-15 17:37:00,Roving/CityCenter,25.28948,51.448133,motorbike,3
CR-SPREAD-516,2025-01-15 17:21:00,Roving/CityCenter,25.342001,51.49664,motorbike,3
CR-SPREAD-517,2025-01-15 17:43:00,Roving/CityCenter,25.248205,51.527554,car,4
CR-SPREAD-518,2025-01-15 17:18:00,Roving/CityCenter,25.227854,51.458052,motorbike,4
CR-SPREAD-519,2025-01-15 17:42:00,Roving/CityCenter,25.232725,51.511427,bike,2
CR-SPREAD-520,2025-01-15 17:23:00,Roving/CityCenter,25.25605,51.509109,bike,2
CR-SPREAD-521,2025-01-15 17:35:00,Roving/CityCenter,25.306153,51.493723,bike,2
CR-SPREAD-522,2025-01-15 17:33:00,Roving/CityCenter,25.247629,51.500149,motorbike,3
CR-SPREAD-523,2025-01-15 17:48:00,Roving/CityCenter,25.321398,51.515606,motorbike,3
CR-SPREAD-524,2025-01-15 17:23:00,Roving/CityCenter,25.281007,51.51508,bike,2
CR-SPREAD-525,2025-01-15 17:49:00,Roving/CityCenter,25.327434,51.415651,bike,2
CR-SPREAD-526,2025-01-15 17:39:00,Roving/CityCenter,25.334501,51.520922,motorbike,3
CR-SPREAD-527,2025-01-15 17:43:00,Roving/CityCenter,25.379326,51.484456,motorbike,3
CR-SPREAD-528,2025-01-15 17:53:00,Roving/CityCenter,25.33981,51.519168,motorbike,3
CR-SPREAD-529,2025-01-15 17:30:00,Roving/CityCenter,25.275136,51.454103,motorbike,3
CR-SPREAD-530,2025-01-15 17:38:00,Roving/CityCenter,25.295727,51.473357,bike,2
CR-SPREAD-531,2025-01-15 18:00:00,Roving/CityCenter,25.306352,51.453709,motorbike,2
CR-SPREAD-532,2025-01-15 17:46:00,Roving/CityCenter,25.265651,51.500181,motorbike,3
CR-SPREAD-533,2025-01-15 17:48:00,Roving/CityCenter,25.193046,51.512233,motorbike,3
CR-SPREAD-534,2025-01-15 17:58:00,Roving/CityCenter,25.342737,51.480274,car,4
CR-SPREAD-535,2025-01-15 17:21:00,Roving/CityCenter,25.338807,51.498745,bike,2
CR-SPREAD-536,2025-01-15 17:47:00,Roving/CityCenter,25.270714,51.4603,bike,2
CR-SPREAD-537,2025-01-15 17:35:00,Roving/CityCenter,25.261488,51.512484,bike,2
CR-SPREAD-538,2025-01-15 17:59:00,Roving/CityCenter,25.219938,51.480567,car,3
CR-SPREAD-539,2025-01-15 17:52:00,Roving/CityCenter,25.267217,51.512585,motorbike,3
CR-SPREAD-540,2025-01-15 17:48:00,Roving/CityCenter,25.319347,51.476451,motorbike,3
CR-SPREAD-541,2025-01-15 17:43:00,Roving/CityCenter,25.271555,51.50946,bike,2
