courier_id,available_from,starting_area_hint,courier_lat,courier_lng,vehicle_type,bundle_capacity
CR-SPREAD-500,2025-01-15 17:43:00,Roving/CityCenter,25.261156,51.469685,car,2
CR-SPREAD-501,2025-01-15 17:27:00,Roving/CityCenter,25.345384,51.437083,bike,2
CR-SPREAD-502,2025-01-15 17:47:00,Roving/CityCenter,25.274649,51.503933,bike,2
CR-SPREAD-503,2025-01-15 17:36:00,Roving/CityCenter,25.275056,51.51999,motorbike,3
CR-SPREAD-504,2025-01-15 17:17:00,Roving/CityCenter,25.301758,51.481779,motorbike,2
CR-SPREAD-505,2025-01-15 17:41:00,Roving/CityCenter,25.27728,51.480584,bike,2
CR-SPREAD-506,2025-01-15 17:52:00,Roving/CityCenter,25.251428,51.430068,bike,2
CR-SPREAD-507,2025-01-15 17:55:00,Roving/CityCenter,25.383085,51.408233,motorbike,3
CR-SPREAD-508,2025-01-15 17:44:00,Roving/CityCenter,25.246602,51.536918,car,4
CR-SPREAD-509,2025-01-15 17:17:00,Roving/CityCenter,25.247035,51.547831,motorbike,2
CR-SPREAD-510,2025-01-15 17:59:00,Roving/CityCenter,25.308237,51.489629,motorbike,3
CR-SPREAD-511,2025-01-15 17:58:00,Roving/CityCenter,25.332501,51.424389,motorbike,3
CR-SPREAD-512,2025-01-15 18:00:00,Roving/CityCenter,25.248581,51.495592,bike,2
CR-SPREAD-513,2025-01-15 17:47:00,Roving/CityCenter,25.306875,51.517035,bike,2
CR-SPREAD-514,2025-01-15 17:34:00,Roving/CityCenter,25.278689,51.568571,car,2
CR-SPREAD-515,2025-01-15 17:27:00,Roving/CityCenter,25.259606,51.537149,car,4
CR-SPREAD-516,2025-01-15 17:21:00,Roving/CityCenter,25.274294,51.543735,bike,2
CR-SPREAD-517,2025-01-15 17:38:00,Roving/CityCenter,25.343413,51.506866,bike,3
CR-SPREAD-518,2025-01-15 17:41:00,Roving/CityCenter,25.220062,51.554668,bike,2
CR-SPREAD-519,2025-01-15 17:39:00,Roving/CityCenter,25.423998,51.500772,motorbike,3
CR-SPREAD-520,2025-01-15 17:37:00,Roving/CityCenter,25.271938,51.474924,bike,3
CR-SPREAD-521,2025-01-15 17:52:00,Roving/CityCenter,25.244712,51.51499,bike,2
CR-SPREAD-522,2025-01-15 17:31:00,Roving/CityCenter,25.32343,51.474257,motorbike,3
