courier_id,available_from,starting_area_hint,courier_lat,courier_lng,vehicle_type,bundle_capacity
CR-STRESS-0,2025-01-15 16:52:00,Industrial Area,25.186672,51.402786,car,4
CR-STRESS-1,2025-01-15 17:20:00,Industrial Area,25.185647,51.405914,motorbike,3
CR-STRESS-2,2025-01-15 17:10:00,Lusail (Far North),25.41086,51.518883,bike,2
CR-STRESS-3,2025-01-15 17:41:00,Lusail (Far North),25.400811,51.505437,bike,2
CR-STRESS-4,2025-01-15 18:00:00,Industrial Area,25.208674,51.380254,bike,2
CR-STRESS-5,2025-01-15 17:48:00,Lusail (Far North),25.417888,51.515579,bike,2
CR-STRESS-6,2025-01-15 17:13:00,Lusail (Far North),25.413402,51.505278,bike,2
CR-STRESS-7,2025-01-15 17:43:00,Industrial Area,25.212515,51.395698,bike,2
CR-STRESS-8,2025-01-15 16:06:00,Lusail (Far North),25.402631,51.513126,motorbike,3
CR-STRESS-9,2025-01-15 16:03:00,Lusail (Far North),25.416228,51.502378,motorbike,3
CR-STRESS-10,2025-01-15 17:25:00,Industrial Area,25.186123,51.380087,motorbike,3
CR-STRESS-11,2025-01-15 16:26:00,Lusail (Far North),25.409674,51.518201,motorbike,4
CR-STRESS-12,2025-01-15 16:33:00,Industrial Area,25.213824,51.414876,motorbike,2
CR-STRESS-13,2025-01-15 17:08:00,Lusail (Far North),25.403999,51.514861,motorbike,3
CR-STRESS-14,2025-01-15 17:21:00,Industrial Area,25.202389,51.401104,bike,2
CR-STRESS-15,2025-01-15 17:40:00,Industrial Area,25.212181,51.419453,bike,2
CR-STRESS-16,2025-01-15 17:45:00,Industrial Area,25.214265,51.386626,bike,2
CR-STRESS-17,2025-01-15 17:42:00,Lusail (Far North),25.418395,51.516865,bike,2
CR-STRESS-18,2025-01-15 17:37:00,Lusail (Far North),25.400006,51.506397,motorbike,4
CR-STRESS-19,2025-01-15 16:48:00,Industrial Area,25.21097,51.410137,bike,2
CR-STRESS-20,2025-01-15 16:57:00,Industrial Area,25.216405,51.413706,motorbike,2
CR-STRESS-21,2025-01-15 17:01:00,Lusail (Far North),25.416957,51.517891,bike,3
CR-STRESS-22,2025-01-15 17:37:00,Lusail (Far North),25.403069,51.513146,motorbike,3
CR-STRESS-23,2025-01-15 17:16:00,Lusail (Far North),25.41553,51.505889,motorbike,3
CR-STRESS-24,2025-01-15 17:52:00,Industrial Area,25.194098,51.400092,motorbike,3
CR-STRESS-25,2025-01-15 16:33:00,Lusail (Far North),25.412895,51.51102,bike,2
CR-STRESS-26,2025-01-15 16:45:00,Lusail (Far North),25.41275,51.518954,bike,2
CR-STRESS-27,2025-01-15 17:21:00,Lusail (Far North),25.402347,51.516917,bike,2
CR-STRESS-28,2025-01-15 16:56:00,Lusail (Far North),25.416597,51.515158,bike,2
CR-STRESS-29,2025-01-15 16:44:00,Lusail (Far North),25.412228,51.509175,bike,2
CR-STRESS-30,2025-01-15 17:01:00,Industrial Area,25.183703,51.414396,motorbike,3
CR-STRESS-31,2025-01-15 17:57:00,Industrial Area,25.183224,51.410035,car,2
CR-STRESS-32,2025-01-15 17:29:00,Lusail (Far North),25.404853,51.508804,bike,2
CR-STRESS-33,2025-01-15 17:34:00,Lusail (Far North),25.418919,51.512064,bike,2
CR-STRESS-34,2025-01-15 17:27:00,Lusail (Far North),25.400032,51.509662,bike,2
