order_id,created_time,pickup_restaurant,pickup_lat,pickup_lng,dropoff_area,dropoff_lat,dropoff_lng,estimated_delivery_time_min
ORD-1000,2025-01-15 18:34:44,West Bay Restaurant 3,25.325096,51.513883,West Bay Residence,25.310948,51.502169,17
ORD-1001,2025-01-15 18:06:30,Old Airport Restaurant 10,25.259662,51.556325,Old Airport Residence,25.251432,51.564654,14
ORD-1002,2025-01-15 18:25:38,Al Waab Restaurant 3,25.267258,51.458593,Al Waab Residence,25.239187,51.441066,23
ORD-1003,2025-01-15 18:39:35,West Bay Restaurant 6,25.326441,51.520994,West Bay Residence,25.320675,51.502002,21
ORD-1004,2025-01-15 18:15:10,Al Waab Restaurant 16,25.246765,51.445118,Al Waab Residence,25.266093,51.455919,19
ORD-1005,2025-01-15 18:53:30,Al Sadd Restaurant 4,25.295341,51.497081,Al Sadd Residence,25.268649,51.496692,16
ORD-1006,2025-01-15 18:33:12,Al Sadd Restaurant 11,25.273784,51.483997,Al Sadd Residence,25.312954,51.513593,25
ORD-1007,2025-01-15 18:46:54,Old Airport Restaurant 12,25.22897,51.565956,Old Airport Residence,25.242456,51.540743,18
ORD-1008,2025-01-15 18:21:51,Al Sadd Restaurant 11,25.289567,51.464023,Al Sadd Residence,25.269802,51.51927,25
ORD-1009,2025-01-15 18:59:38,Al Sadd Restaurant 3,25.284787,51.494947,Al Sadd Residence,25.279129,51.497128,17
ORD-1010,2025-01-15 18:38:23,The Pearl Restaurant 11,25.367408,51.551583,The Pearl Residence,25.373542,51.549451,14
ORD-1011,2025-01-15 18:21:16,Al Waab Restaurant 9,25.247641,51.45418,Al Waab Residence,25.268523,51.557795,37
ORD-1012,2025-01-15 18:53:54,Al Waab Restaurant 1,25.264548,51.477718,Al Waab Residence,25.255737,51.453359,20
ORD-1013,2025-01-15 18:14:43,The Pearl Restaurant 13,25.370186,51.550595,The Pearl Residence,25.37213,51.544475,13
ORD-1014,2025-01-15 18:22:25,Old Airport Restaurant 15,25.238437,51.55549,Old Airport Residence,25.234819,51.555633,11
ORD-1015,2025-01-15 18:49:48,Al Sadd Restaurant 4,25.294326,51.474859,Al Sadd Residence,25.309459,51.471989,19
ORD-1016,2025-01-15 18:46:50,Old Airport Restaurant 10,25.222377,51.560432,Old Airport Residence,25.30357,51.503316,30
ORD-1017,2025-01-15 18:14:29,The Pearl Restaurant 1,25.37667,51.553484,The Pearl Residence,25.374995,51.540927,13
ORD-1018,2025-01-15 18:03:46,Al Waab Restaurant 15,25.242179,51.463868,Al Waab Residence,25.273319,51.473011,17
ORD-1019,2025-01-15 18:16:00,West Bay Restaurant 6,25.324768,51.511969,West Bay Residence,25.300577,51.517805,20
ORD-1020,2025-01-15 18:14:13,West Bay Restaurant 16,25.332209,51.51376,West Bay Residence,25.317039,51.495093,12
ORD-1021,2025-01-15 18:05:05,Al Waab Restaurant 20,25.264052,51.436303,Al Waab Residence,25.271131,51.456298,14
ORD-1022,2025-01-15 18:44:37,The Pearl Restaurant 4,25.377617,51.546865,The Pearl Residence,25.373026,51.54167,14
ORD-1023,2025-01-15 18:32:06,The Pearl Restaurant 15,25.367744,51.550809,The Pearl Residence,25.429189,51.507069,35
ORD-1024,2025-01-15 18:55:22,Al Sadd Restaurant 12,25.287452,51.49612,Al Sadd Residence,25.266095,51.478755,17
ORD-1025,2025-01-15 18:14:58,Lusail Restaurant 7,25.41583,51.506885,Lusail Residence,25.428366,51.499506,16
ORD-1026,2025-01-15 18:46:12,Old Airport Restaurant 9,25.233767,51.566985,Old Airport Residence,25.238047,51.542714,17
ORD-1027,2025-01-15 18:13:00,West Bay Restaurant 18,25.314231,51.513727,West Bay Residence,25.325204,51.514275,13
ORD-1028,2025-01-15 18:13:54,Al Waab Restaurant 11,25.260589,51.470738,Al Waab Residence,25.279674,51.447215,17
ORD-1029,2025-01-15 18:08:27,The Pearl Restaurant 18,25.375583,51.54931,The Pearl Residence,25.397691,51.48681,29
ORD-1030,2025-01-15 18:42:37,Al Waab Restaurant 9,25.264492,51.437981,Al Waab Residence,25.260227,51.491327,27
ORD-1031,2025-01-15 18:43:55,Al Waab Restaurant 7,25.251424,51.458828,Al Waab Residence,25.258951,51.479461,19
ORD-1032,2025-01-15 18:01:02,West Bay Restaurant 2,25.322664,51.519113,West Bay Residence,25.28839,51.497301,25
