order_id,created_time,pickup_restaurant,pickup_lat,pickup_lng,dropoff_area,dropoff_lat,dropoff_lng,estimated_delivery_time_min
ORD-1000,2025-01-15 18:07:14,Lusail Restaurant 15,25.418053,51.493576,Lusail Residence,25.405843,51.517839,19
ORD-1001,2025-01-15 18:45:12,The Pearl Restaurant 2,25.376674,51.552602,The Pearl Residence,25.37119,51.552973,8
ORD-1002,2025-01-15 18:21:50,Al Waab Restaurant 6,25.267006,51.461558,Al Waab Residence,25.255738,51.558946,37
ORD-1003,2025-01-15 18:44:47,Old Airport Restaurant 8,25.24282,51.565053,Old Airport Residence,25.242919,51.552605,20
ORD-1004,2025-01-15 18:21:51,The Pearl Restaurant 14,25.376152,51.545667,The Pearl Residence,25.31399,51.508935,28
ORD-1005,2025-01-15 18:26:53,Al Sadd Restaurant 17,25.288725,51.483326,Al Sadd Residence,25.28605,51.493279,12
ORD-1006,2025-01-15 18:16:32,Al Sadd Restaurant 11,25.282266,51.506749,Al Sadd Residence,25.280283,51.490561,11
ORD-1007,2025-01-15 18:11:21,West Bay Restaurant 13,25.334215,51.512898,West Bay Residence,25.293686,51.517006,24
ORD-1008,2025-01-15 18:47:19,The Pearl Restaurant 11,25.376018,51.546588,The Pearl Residence,25.40028,51.521204,18
ORD-1009,2025-01-15 18:06:43,Al Waab Restaurant 5,25.272751,51.454889,Al Waab Residence,25.267055,51.480026,18
ORD-1010,2025-01-15 18:34:40,The Pearl Restaurant 13,25.377535,51.541515,The Pearl Residence,25.377834,51.55357,11
ORD-1011,2025-01-15 18:34:18,Lusail Restaurant 1,25.402409,51.515663,Lusail Residence,25.369201,51.49587,21
ORD-1012,2025-01-15 18:02:59,Lusail Restaurant 9,25.416227,51.481105,Lusail Residence,25.392611,51.479229,18
ORD-1013,2025-01-15 18:43:04,Lusail Restaurant 5,25.392747,51.503196,Lusail Residence,25.372931,51.481747,16
ORD-1014,2025-01-15 18:28:10,Old Airport Restaurant 6,25.230586,51.540152,Old Airport Residence,25.235625,51.547627,21
ORD-1015,2025-01-15 18:47:56,The Pearl Restaurant 1,25.361915,51.553316,The Pearl Residence,25.228713,51.550237,43
ORD-1016,2025-01-15 18:13:33,Al Sadd Restaurant 11,25.290175,51.462498,Al Sadd Residence,25.382711,51.505983,41
ORD-1017,2025-01-15 18:35:13,The Pearl Restaurant 13,25.371099,51.552359,The Pearl Residence,25.378918,51.553191,18
ORD-1018,2025-01-15 18:57:59,Al Waab Restaurant 12,25.278491,51.46444,Al Waab Residence,25.246621,51.450501,16
ORD-1019,2025-01-15 18:33:47,Al Waab Restaurant 14,25.258277,51.439167,Al Waab Residence,25.260122,51.474098,20
ORD-1020,2025-01-15 18:23:50,Lusail Restaurant 20,25.396253,51.506609,Lusail Residence,25.361201,51.550925,26
ORD-1021,2025-01-15 18:04:19,Lusail Restaurant 18,25.409255,51.485286,Lusail Residence,25.400303,51.511015,19
ORD-1022,2025-01-15 18:21:43,Old Airport Restaurant 14,25.222449,51.562555,Old Airport Residence,25.254558,51.557683,15
ORD-1023,2025-01-15 18:39:21,Lusail Restaurant 18,25.405761,51.509341,Lusail Residence,25.3005,51.510797,40
