order_id,created_time,pickup_restaurant,pickup_lat,pickup_lng,dropoff_area,dropoff_lat,dropoff_lng,estimated_delivery_time_min
ORD-HYBRID-0,2025-01-15 18:13:24,City Spread Restaurant,25.363943,51.500435,City Spread Residence,25.25587,51.427576,44
ORD-HYBRID-1,2025-01-15 18:33:54,Old Airport Hub,25.244566,51.555131,City Spread,25.354775,51.494696,47
ORD-HYBRID-2,2025-01-15 18:16:16,The Pearl Hub,25.369976,51.551096,The Pearl Local,25.368359,51.554923,16
ORD-HYBRID-3,2025-01-15 18:17:56,Al Sadd Hub,25.288912,51.481311,Al Sadd Local,25.29615,51.49521,17
ORD-HYBRID-4,2025-01-15 18:53:57,City Spread Restaurant,25.398204,51.484266,City Spread Residence,25.35753,51.490348,28
ORD-HYBRID-5,2025-01-15 18:23:02,City Spread Restaurant,25.326305,51.481143,City Spread Residence,25.406023,51.400916,44
ORD-HYBRID-6,2025-01-15 18:21:42,City Spread Restaurant,25.428057,51.472325,City Spread Residence,25.431229,51.439436,23
ORD-HYBRID-7,2025-01-15 18:49:05,Al Waab Hub,25.251896,51.457653,Al Waab Local,25.240842,51.449766,20
ORD-HYBRID-8,2025-01-15 18:18:29,West Bay Hub,25.331849,51.519667,West Bay Local,25.31065,51.517322,21
ORD-HYBRID-9,2025-01-15 18:16:00,Al Sadd Hub,25.285136,51.501242,Al Sadd Local,25.285584,51.459855,24
ORD-HYBRID-10,2025-01-15 18:44:59,Al Sadd Hub,25.298458,51.501624,Al Sadd Local,25.306171,51.49455,19
ORD-HYBRID-11,2025-01-15 18:32:22,Lusail Hub,25.430022,51.500858,City Spread,25.22746,51.476192,61
ORD-HYBRID-12,2025-01-15 18:47:13,City Spread Restaurant,25.373421,51.476115,City Spread Residence,25.431801,51.402688,35
ORD-HYBRID-13,2025-01-15 18:22:07,West Bay Hub,25.323094,51.51755,West Bay Local,25.333047,51.511401,21
ORD-HYBRID-14,2025-01-15 18:32:49,City Spread Restaurant,25.404811,51.42956,City Spread Residence,25.256773,51.420477,48
ORD-HYBRID-15,2025-01-15 18:26:02,Old Airport Hub,25.25189,51.555289,Old Airport Local,25.237438,51.562322,20
ORD-HYBRID-16,2025-01-15 18:23:47,The Pearl Hub,25.376466,51.539357,City Spread,25.212236,51.569173,50
ORD-HYBRID-17,2025-01-15 18:21:23,Old Airport Hub,25.231015,51.561339,City Spread,25.364345,51.433821,54
ORD-HYBRID-18,2025-01-15 18:25:32,Al Waab Hub,25.270381,51.459234,Al Waab Local,25.253474,51.467655,22
ORD-HYBRID-19,2025-01-15 18:12:22,Lusail Hub,25.373179,51.552852,Lusail Local,25.407513,51.516266,30
ORD-HYBRID-20,2025-01-15 18:45:52,The Pearl Hub,25.373434,51.549652,The Pearl Local,25.370702,51.553203,15
ORD-HYBRID-21,2025-01-15 18:04:22,Al Waab Hub,25.249213,51.457856,Al Waab Local,25.268027,51.436442,22
ORD-HYBRID-22,2025-01-15 18:46:58,Al Sadd Hub,25.266027,51.493549,Al Sadd Local,25.286098,51.467691,24
ORD-HYBRID-23,2025-01-15 18:35:36,The Pearl Hub,25.371387,51.550484,The Pearl Local,25.373396,51.5485,13
ORD-HYBRID-24,2025-01-15 18:18:18,City Spread Restaurant,25.3214,51.500619,City Spread Residence,25.401898,51.502747,37
ORD-HYBRID-25,2025-01-15 18:11:42,Al Waab Hub,25.269317,51.455875,City Spread,25.220643,51.563618,40
ORD-HYBRID-26,2025-01-15 18:32:17,Al Sadd Hub,25.292606,51.501224,Al Sadd Local,25.31435,51.471583,27
ORD-HYBRID-27,2025-01-15 18:27:36,Lusail Hub,25.367891,51.522234,Lusail Local,25.40144,51.498549,25
ORD-HYBRID-28,2025-01-15 18:49:53,The Pearl Hub,25.373813,51.554777,City Spread,25.210781,51.542408,53
ORD-HYBRID-29,2025-01-15 18:16:17,City Spread Restaurant,25.280832,51.415537,City Spread Residence,25.201881,51.55937,50
ORD-HYBRID-30,2025-01-15 18:41:21,City Spread Restaurant,25.258018,51.564519,City Spread Residence,25.3179,51.40969,50
ORD-HYBRID-31,2025-01-15 18:29:01,City Spread Restaurant,25.21923,51.486653,City Spread Residence,25.376629,51.422097,52
ORD-HYBRID-32,2025-01-15 18:37:04,West Bay Hub,25.31082,51.516759,City Spread,25.21845,51.440685,43
ORD-HYBRID-33,2025-01-15 18:39:31,City Spread Restaurant,25.239648,51.50665,City Spread Residence,25.208169,51.487232,25
ORD-HYBRID-34,2025-01-15 18:08:53,The Pearl Hub,25.379682,51.545006,The Pearl Local,25.377093,51.550608,18
ORD-HYBRID-35,2025-01-15 18:33:52,The Pearl Hub,25.368117,51.554717,City Spread,25.420151,51.411873,50
ORD-HYBRID-36,2025-01-15 18:07:00,Al Sadd Hub,25.295893,51.50294,Al Sadd Local,25.281596,51.472623,24
ORD-HYBRID-37,2025-01-15 18:13:52,City Spread Restaurant,25.340133,51.476606,City Spread Residence,25.384751,51.433463,32
ORD-HYBRID-38,2025-01-15 18:38:10,Old Airport Hub,25.233256,51.5613,Old Airport Local,25.24699,51.562855,18
ORD-HYBRID-39,2025-01-15 18:27:16,City Spread Restaurant,25.360758,51.467553,City Spread Residence,25.316603,51.517975,29
ORD-HYBRID-40,2025-01-15 18:01:17,West Bay Hub,25.322713,51.518556,West Bay Local,25.326468,51.517032,15
ORD-HYBRID-41,2025-01-15 18:13:10,West Bay Hub,25.310698,51.505903,West Bay Local,25.315735,51.512455,21
ORD-HYBRID-42,2025-01-15 18:15:37,City Spread Restaurant,25.379329,51.441431,City Spread Residence,25.26604,51.479338,39
ORD-HYBRID-43,2025-01-15 18:31:04,West Bay Hub,25.316795,51.51392,West Bay Local,25.31897,51.5113,18
ORD-HYBRID-44,2025-01-15 18:50:19,City Spread Restaurant,25.368913,51.469854,City Spread Residence,25.299582,51.480853,29
ORD-HYBRID-45,2025-01-15 18:35:28,Old Airport Hub,25.250017,51.538821,Old Airport Local,25.260097,51.565291,22
ORD-HYBRID-46,2025-01-15 18:00:21,Al Sadd Hub,25.278765,51.491889,Al Sadd Local,25.282208,51.506886,20
ORD-HYBRID-47,2025-01-15 18:07:16,Al Waab Hub,25.267156,51.43334,Al Waab Local,25.263168,51.473049,26
ORD-HYBRID-48,2025-01-15 18:36:51,Lusail Hub,25.435836,51.513895,Lusail Local,25.371243,51.515916,32
ORD-HYBRID-49,2025-01-15 18:56:56,Al Waab Hub,25.265736,51.489775,Al Waab Local,25.267371,51.463119,23
ORD-HYBRID-50,2025-01-15 18:18:19,City Spread Restaurant,25.33427,51.434531,City Spread Residence,25.279499,51.549279,46
ORD-HYBRID-51,2025-01-15 18:44:03,City Spread Restaurant,25.319232,51.494912,City Spread Residence,25.34769,51.512059,26
ORD-HYBRID-52,2025-01-15 18:30:04,Al Sadd Hub,25.295627,51.488215,Al Sadd Local,25.277749,51.485854,22
ORD-HYBRID-53,2025-01-15 18:36:17,Lusail Hub,25.419596,51.51295,City Spread,25.350731,51.494685,32
ORD-HYBRID-54,2025-01-15 18:36:42,City Spread Restaurant,25.367754,51.474282,City Spread Residence,25.429244,51.425787,31
ORD-HYBRID-55,2025-01-15 18:52:25,City Spread Restaurant,25.295848,51.417892,City Spread Residence,25.34938,51.51218,39
ORD-HYBRID-56,2025-01-15 18:22:58,City Spread Restaurant,25.228951,51.462718,City Spread Residence,25.266895,51.415345,32
ORD-HYBRID-57,2025-01-15 18:08:17,Old Airport Hub,25.236591,51.551971,City Spread,25.276814,51.443484,40
ORD-HYBRID-58,2025-01-15 18:21:57,Al Waab Hub,25.252476,51.460195,Al Waab Local,25.262691,51.464813,17
ORD-HYBRID-59,2025-01-15 18:25:17,Lusail Hub,25.401813,51.518629,Lusail Local,25.404255,51.51171,21
ORD-HYBRID-60,2025-01-15 18:57:51,The Pearl Hub,25.378737,51.554863,City Spread,25.242855,51.54078,44
ORD-HYBRID-61,2025-01-15 18:26:39,City Spread Restaurant,25.305703,51.406405,City Spread Residence,25.371203,51.484805,41
ORD-HYBRID-62,2025-01-15 18:19:31,City Spread Restaurant,25.201389,51.555655,City Spread Residence,25.30064,51.51082,40
ORD-HYBRID-63,2025-01-15 18:39:37,City Spread Restaurant,25.210513,51.540756,City Spread Residence,25.287081,51.410113,51
ORD-HYBRID-64,2025-01-15 18:09:48,West Bay Hub,25.331864,51.512205,City Spread,25.323032,51.466426,27
ORD-HYBRID-65,2025-01-15 18:41:42,Lusail Hub,25.40395,51.516584,Lusail Local,25.365119,51.474877,28
ORD-HYBRID-66,2025-01-15 18:45:16,City Spread Restaurant,25.436508,51.51272,City Spread Residence,25.366268,51.48078,30
ORD-HYBRID-67,2025-01-15 18:09:53,West Bay Hub,25.314932,51.513054,West Bay Local,25.325767,51.51738,18
ORD-HYBRID-68,2025-01-15 18:52:53,City Spread Restaurant,25.206515,51.425153,City Spread Residence,25.435794,51.436691,70
ORD-HYBRID-69,2025-01-15 18:35:49,Lusail Hub,25.416745,51.519563,Lusail Local,25.406574,51.490759,25
ORD-HYBRID-70,2025-01-15 18:02:46,Al Sadd Hub,25.305464,51.499299,Al Sadd Local,25.286236,51.479999,23
ORD-HYBRID-71,2025-01-15 18:46:15,Lusail Hub,25.392835,51.503658,City Spread,25.448558,51.48437,31
ORD-HYBRID-72,2025-01-15 18:01:54,Old Airport Hub,25.238274,51.556624,Old Airport Local,25.217823,51.548464,18
ORD-HYBRID-73,2025-01-15 18:33:03,Al Sadd Hub,25.292997,51.478613,City Spread,25.26544,51.444436,29
ORD-HYBRID-74,2025-01-15 18:16:53,Al Sadd Hub,25.304865,51.499762,Al Sadd Local,25.311938,51.501481,20
ORD-HYBRID-75,2025-01-15 18:37:23,City Spread Restaurant,25.367639,51.501204,City Spread Residence,25.413962,51.448018,29
ORD-HYBRID-76,2025-01-15 18:12:11,West Bay Hub,25.310271,51.517533,City Spread,25.357459,51.469738,32
ORD-HYBRID-77,2025-01-15 18:02:46,City Spread Restaurant,25.247846,51.55277,City Spread Residence,25.235459,51.532063,21
ORD-HYBRID-78,2025-01-15 18:46:26,Al Sadd Hub,25.290589,51.484008,Al Sadd Local,25.285848,51.498457,21
ORD-HYBRID-79,2025-01-15 18:17:34,West Bay Hub,25.322095,51.516358,West Bay Local,25.338038,51.517661,20
ORD-HYBRID-80,2025-01-15 18:11:23,The Pearl Hub,25.372676,51.550614,The Pearl Local,25.374094,51.545153,19
ORD-HYBRID-81,2025-01-15 18:09:01,Al Waab Hub,25.265509,51.482818,Al Waab Local,25.262797,51.458504,20
