order_id,created_time,pickup_restaurant,pickup_lat,pickup_lng,dropoff_area,dropoff_lat,dropoff_lng,estimated_delivery_time_min
ORD-SPREAD-1000,2025-01-15 18:18:50,Restaurant #484,25.319503,51.503701,Residential Unit,25.321535,51.499368,18
ORD-SPREAD-1001,2025-01-15 18:17:06,Restaurant #427,25.183562,51.482585,Residential Unit,25.222871,51.418912,40
ORD-SPREAD-1002,2025-01-15 18:49:37,Restaurant #183,25.26384,51.45981,Residential Unit,25.258498,51.458697,22
ORD-SPREAD-1003,2025-01-15 18:38:26,Restaurant #992,25.256404,51.485404,Residential Unit,25.224376,51.480936,26
ORD-SPREAD-1004,2025-01-15 18:56:41,Restaurant #574,25.341948,51.506923,Residential Unit,25.334222,51.512881,17
ORD-SPREAD-1005,2025-01-15 18:20:54,Restaurant #549,25.285162,51.477623,Residential Unit,25.256699,51.439288,33
ORD-SPREAD-1006,2025-01-15 18:44:22,Restaurant #305,25.260895,51.432528,Residential Unit,25.263437,51.39872,24
ORD-SPREAD-1007,2025-01-15 18:35:03,Restaurant #554,25.281076,51.480644,Residential Unit,25.258514,51.465474,25
ORD-SPREAD-1008,2025-01-15 18:51:54,Restaurant #554,25.306116,51.497146,Residential Unit,25.270558,51.525435,28
ORD-SPREAD-1009,2025-01-15 18:08:18,Restaurant #598,25.215167,51.455624,Residential Unit,25.229324,51.446079,18
ORD-SPREAD-1010,2025-01-15 18:33:28,Restaurant #351,25.236446,51.526528,Residential Unit,25.219175,51.537883,21
ORD-SPREAD-1011,2025-01-15 18:37:43,Restaurant #635,25.23201,51.479746,Residential Unit,25.225385,51.472399,18
ORD-SPREAD-1012,2025-01-15 18:00:23,Restaurant #200,25.322509,51.517873,Residential Unit,25.35387,51.471759,31
ORD-SPREAD-1013,2025-01-15 18:16:17,Restaurant #559,25.278483,51.501665,Residential Unit,25.196806,51.505,42
ORD-SPREAD-1014,2025-01-15 18:07:21,Restaurant #222,25.267021,51.533785,Residential Unit,25.273608,51.547907,20
ORD-SPREAD-1015,2025-01-15 18:42:45,Restaurant #928,25.29372,51.510668,Residential Unit,25.336143,51.512471,26
ORD-SPREAD-1016,2025-01-15 18:34:35,Restaurant #245,25.284567,51.515302,Residential Unit,25.269995,51.482765,28
ORD-SPREAD-1017,2025-01-15 18:11:03,Restaurant #322,25.292951,51.486113,Residential Unit,25.305893,51.486971,20
ORD-SPREAD-1018,2025-01-15 18:01:54,Restaurant #543,25.299396,51.488177,Residential Unit,25.303454,51.455626,23
ORD-SPREAD-1019,2025-01-15 18:20:51,Restaurant #817,25.313349,51.438348,Residential Unit,25.316991,51.458239,21
ORD-SPREAD-1020,2025-01-15 18:34:51,Restaurant #137,25.143415,51.501481,Residential Unit,25.170019,51.504439,27
ORD-SPREAD-1021,2025-01-15 18:48:19,Restaurant #702,25.302103,51.501036,Residential Unit,25.320857,51.492207,22
ORD-SPREAD-1022,2025-01-15 18:11:46,Restaurant #456,25.277789,51.509552,Residential Unit,25.276113,51.553756,29
ORD-SPREAD-1023,2025-01-15 18:52:51,Restaurant #793,25.304208,51.498571,Residential Unit,25.217872,51.499031,35
ORD-SPREAD-1024,2025-01-15 18:47:13,Restaurant #427,25.319035,51.506182,Residential Unit,25.283541,51.498338,27
ORD-SPREAD-1025,2025-01-15 18:47:47,Restaurant #240,25.262264,51.540076,Residential Unit,25.279209,51.486447,31
ORD-SPREAD-1026,2025-01-15 18:35:35,Restaurant #659,25.214056,51.466083,Residential Unit,25.204576,51.414271,29
