order_id,created_time,pickup_restaurant,pickup_lat,pickup_lng,dropoff_area,dropoff_lat,dropoff_lng,estimated_delivery_time_min
ORD-SPREAD-1000,2025-01-15 18:41:18,Restaurant #401,25.292373,51.400027,Residential Unit,25.328404,51.368391,26
ORD-SPREAD-1001,2025-01-15 18:52:54,Restaurant #680,25.262533,51.503615,Residential Unit,25.283794,51.390827,47
ORD-SPREAD-1002,2025-01-15 18:30:55,Restaurant #194,25.227697,51.515708,Residential Unit,25.254121,51.545933,23
ORD-SPREAD-1003,2025-01-15 18:55:44,Restaurant #860,25.289017,51.516753,Residential Unit,25.249293,51.482773,35
ORD-SPREAD-1004,2025-01-15 18:53:57,Restaurant #477,25.267354,51.51323,Residential Unit,25.228071,51.437733,35
ORD-SPREAD-1005,2025-01-15 18:31:58,Restaurant #313,25.278079,51.499422,Residential Unit,25.308855,51.490668,27
ORD-SPREAD-1006,2025-01-15 18:45:13,Restaurant #580,25.323151,51.469982,Residential Unit,25.347491,51.502399,29
ORD-SPREAD-1007,2025-01-15 18:46:59,Restaurant #976,25.271714,51.498723,Residential Unit,25.250123,51.529794,26
ORD-SPREAD-1008,2025-01-15 18:16:12,Restaurant #551,25.239825,51.455378,Residential Unit,25.274162,51.557167,44
ORD-SPREAD-1009,2025-01-15 18:17:03,Restaurant #133,25.370564,51.551663,Residential Unit,25.269906,51.418827,65
ORD-SPREAD-1010,2025-01-15 18:48:27,Restaurant #878,25.269951,51.475486,Residential Unit,25.227609,51.472459,31
ORD-SPREAD-1011,2025-01-15 18:28:08,Restaurant #681,25.295117,51.505145,Residential Unit,25.254537,51.494369,23
ORD-SPREAD-1012,2025-01-15 18:26:48,Restaurant #618,25.212402,51.546485,Residential Unit,25.221611,51.535785,19
ORD-SPREAD-1013,2025-01-15 18:03:02,Restaurant #608,25.226077,51.545779,Residential Unit,25.272137,51.490979,39
ORD-SPREAD-1014,2025-01-15 18:32:00,Restaurant #930,25.322607,51.439362,Residential Unit,25.326704,51.430421,16
ORD-SPREAD-1015,2025-01-15 18:17:18,Restaurant #964,25.260976,51.529173,Residential Unit,25.254636,51.466781,32
ORD-SPREAD-1016,2025-01-15 18:07:37,Restaurant #211,25.264868,51.555517,Residential Unit,25.271945,51.533001,21
ORD-SPREAD-1017,2025-01-15 18:43:55,Restaurant #481,25.339217,51.501691,Residential Unit,25.334034,51.50513,19
ORD-SPREAD-1018,2025-01-15 18:29:55,Restaurant #280,25.237366,51.52,Residential Unit,25.196655,51.534483,25
ORD-SPREAD-1019,2025-01-15 18:17:52,Restaurant #328,25.326326,51.47764,Residential Unit,25.251549,51.455136,35
ORD-SPREAD-1020,2025-01-15 18:05:43,Restaurant #971,25.265175,51.462515,Residential Unit,25.259422,51.403414,33
ORD-SPREAD-1021,2025-01-15 18:45:21,Restaurant #820,25.312414,51.438711,Residential Unit,25.310263,51.442508,15
ORD-SPREAD-1022,2025-01-15 18:03:31,Restaurant #963,25.305421,51.462223,Residential Unit,25.305103,51.475448,24
ORD-SPREAD-1023,2025-01-15 18:53:06,Restaurant #946,25.246526,51.47753,Residential Unit,25.219946,51.495045,25
ORD-SPREAD-1024,2025-01-15 18:55:59,Restaurant #913,25.271856,51.467266,Residential Unit,25.26945,51.530427,29
ORD-SPREAD-1025,2025-01-15 18:19:06,Restaurant #334,25.30512,51.469621,Residential Unit,25.24908,51.43727,30
ORD-SPREAD-1026,2025-01-15 18:02:03,Restaurant #270,25.273009,51.491581,Residential Unit,25.254125,51.529775,31
ORD-SPREAD-1027,2025-01-15 18:01:50,Restaurant #638,25.301717,51.447164,Residential Unit,25.302823,51.443462,20
ORD-SPREAD-1028,2025-01-15 18:05:39,Restaurant #748,25.229417,51.532561,Residential Unit,25.213881,51.525234,18
ORD-SPREAD-1029,2025-01-15 18:26:52,Restaurant #164,25.353772,51.481874,Residential Unit,25.348834,51.47937,15
ORD-SPREAD-1030,2025-01-15 18:31:20,Restaurant #696,25.191529,51.486726,Residential Unit,25.190683,51.446744,30
ORD-SPREAD-1031,2025-01-15 18:41:28,Restaurant #836,25.326247,51.493968,Residential Unit,25.303095,51.504059,23
ORD-SPREAD-1032,2025-01-15 18:15:10,Restaurant #442,25.273098,51.479218,Residential Unit,25.242315,51.469685,24
ORD-SPREAD-1033,2025-01-15 18:34:27,Restaurant #886,25.255157,51.430741,Residential Unit,25.249434,51.444786,17
ORD-SPREAD-1034,2025-01-15 18:15:39,Restaurant #159,25.319167,51.479989,Residential Unit,25.350821,51.447279,25
ORD-SPREAD-1035,2025-01-15 18:50:01,Restaurant #670,25.18699,51.5596,Residential Unit,25.332333,51.472649,64
ORD-SPREAD-1036,2025-01-15 18:00:52,Restaurant #446,25.315513,51.490268,Residential Unit,25.329697,51.471875,23
ORD-SPREAD-1037,2025-01-15 18:47:28,Restaurant #876,25.312757,51.425845,Residential Unit,25.286261,51.44899,29
ORD-SPREAD-1038,2025-01-15 18:41:35,Restaurant #528,25.284768,51.408488,Residential Unit,25.27107,51.390174,19
ORD-SPREAD-1039,2025-01-15 18:24:30,Restaurant #877,25.231304,51.4823,Residential Unit,25.224399,51.419391,37
ORD-SPREAD-1040,2025-01-15 18:21:21,Restaurant #898,25.265634,51.547777,Residential Unit,25.341208,51.494786,44
ORD-SPREAD-1041,2025-01-15 18:54:33,Restaurant #692,25.334492,51.502813,Residential Unit,25.223627,51.541614,51
ORD-SPREAD-1042,2025-01-15 18:30:29,Restaurant #239,25.250455,51.517806,Residential Unit,25.192403,51.50458,30
ORD-SPREAD-1043,2025-01-15 18:49:10,Restaurant #212,25.367503,51.457423,Residential Unit,25.356141,51.46271,19
ORD-SPREAD-1044,2025-01-15 18:07:07,Restaurant #573,25.347179,51.51454,Residential Unit,25.246739,51.466211,51
ORD-SPREAD-1045,2025-01-15 18:52:21,Restaurant #217,25.32659,51.498818,Residential Unit,25.295869,51.495571,24
ORD-SPREAD-1046,2025-01-15 18:22:21,Restaurant #669,25.282039,51.445515,Residential Unit,25.272682,51.443661,16
ORD-SPREAD-1047,2025-01-15 18:13:41,Restaurant #673,25.302348,51.486281,Residential Unit,25.219438,51.500988,42
ORD-SPREAD-1048,2025-01-15 18:22:59,Restaurant #115,25.308988,51.491922,Residential Unit,25.301098,51.458683,26
