order_id,created_time,pickup_restaurant,pickup_lat,pickup_lng,dropoff_area,dropoff_lat,dropoff_lng,estimated_delivery_time_min
ORD-STRESS-TIME-0,2025-01-15 18:02:38,Villaggio Burger King,25.26,51.443,Scattered Residence,25.23981,51.458663,25
ORD-STRESS-TIME-1,2025-01-15 18:02:29,Villaggio Burger King,25.26,51.443,Scattered Residence,25.258273,51.441831,20
ORD-STRESS-TIME-2,2025-01-15 18:02:26,Villaggio Burger King,25.26,51.443,Scattered Residence,25.246404,51.445712,23
ORD-STRESS-TIME-3,2025-01-15 18:04:02,Villaggio Burger King,25.26,51.443,Scattered Residence,25.224011,51.432665,28
ORD-STRESS-TIME-4,2025-01-15 18:01:55,Villaggio Burger King,25.26,51.443,Scattered Residence,25.288292,51.422824,27
ORD-STRESS-TIME-5,2025-01-15 18:04:52,Villaggio Burger King,25.26,51.443,Scattered Residence,25.269066,51.396599,30
ORD-STRESS-TIME-6,2025-01-15 18:02:52,Villaggio Burger King,25.26,51.443,Scattered Residence,25.298983,51.465017,29
ORD-STRESS-TIME-7,2025-01-15 18:04:02,Villaggio Burger King,25.26,51.443,Scattered Residence,25.25908,51.48009,28
ORD-STRESS-TIME-8,2025-01-15 18:03:05,Villaggio Burger King,25.26,51.443,Scattered Residence,25.309941,51.43799,31
ORD-STRESS-TIME-9,2025-01-15 18:02:50,Villaggio Burger King,25.26,51.443,Scattered Residence,25.280746,51.476019,28
ORD-STRESS-TIME-10,2025-01-15 18:00:25,Villaggio Burger King,25.26,51.443,Scattered Residence,25.26475,51.457609,23
ORD-STRESS-TIME-11,2025-01-15 18:03:27,Villaggio Burger King,25.26,51.443,Scattered Residence,25.241291,51.452371,24
ORD-STRESS-TIME-12,2025-01-15 18:00:18,Villaggio Burger King,25.26,51.443,Scattered Residence,25.280133,51.452905,24
ORD-STRESS-TIME-13,2025-01-15 18:03:45,Villaggio Burger King,25.26,51.443,Scattered Residence,25.302693,51.412697,31
ORD-STRESS-TIME-14,2025-01-15 18:00:16,Villaggio Burger King,25.26,51.443,Scattered Residence,25.212542,51.421714,31
ORD-STRESS-TIME-15,2025-01-15 18:00:20,Villaggio Burger King,25.26,51.443,Scattered Residence,25.25377,51.41084,27
ORD-STRESS-TIME-16,2025-01-15 18:04:31,Villaggio Burger King,25.26,51.443,Scattered Residence,25.24013,51.485786,30
ORD-STRESS-TIME-17,2025-01-15 18:01:52,Villaggio Burger King,25.26,51.443,Scattered Residence,25.261039,51.411491,26
ORD-STRESS-TIME-18,2025-01-15 18:00:06,Villaggio Burger King,25.26,51.443,Scattered Residence,25.234361,51.444204,25
ORD-STRESS-TIME-19,2025-01-15 18:02:08,Villaggio Burger King,25.26,51.443,Scattered Residence,25.253223,51.421925,24
ORD-STRESS-TIME-20,2025-01-15 18:03:17,Villaggio Burger King,25.26,51.443,Scattered Residence,25.256128,51.481917,28
ORD-STRESS-TIME-21,2025-01-15 18:01:12,Villaggio Burger King,25.26,51.443,Scattered Residence,25.280019,51.394382,31
ORD-STRESS-TIME-22,2025-01-15 18:02:47,Villaggio Burger King,25.26,51.443,Scattered Residence,25.291418,51.492162,32
ORD-STRESS-TIME-23,2025-01-15 18:04:28,Villaggio Burger King,25.26,51.443,Scattered Residence,25.302847,51.472764,31
ORD-STRESS-TIME-24,2025-01-15 18:01:27,Villaggio Burger King,25.26,51.443,Scattered Residence,25.21984,51.399424,33
ORD-STRESS-TIME-25,2025-01-15 18:03:28,Villaggio Burger King,25.26,51.443,Scattered Residence,25.222455,51.480939,31
ORD-STRESS-TIME-26,2025-01-15 18:04:11,Villaggio Burger King,25.26,51.443,Scattered Residence,25.223378,51.476905,31
ORD-STRESS-TIME-27,2025-01-15 18:03:22,Villaggio Burger King,25.26,51.443,Scattered Residence,25.297676,51.433876,28
ORD-STRESS-TIME-28,2025-01-15 18:03:33,Villaggio Burger King,25.26,51.443,Scattered Residence,25.299198,51.484642,32
ORD-STRESS-TIME-29,2025-01-15 18:04:28,Villaggio Burger King,25.26,51.443,Scattered Residence,25.247537,51.400583,29
ORD-STRESS-TIME-30,2025-01-15 18:00:01,Villaggio Burger King,25.26,51.443,Scattered Residence,25.248795,51.464167,25
ORD-STRESS-TIME-31,2025-01-15 18:00:43,Villaggio Burger King,25.26,51.443,Scattered Residence,25.276622,51.418428,26
ORD-STRESS-TIME-32,2025-01-15 18:01:49,Villaggio Burger King,25.26,51.443,Scattered Residence,25.2163,51.436606,29
ORD-STRESS-TIME-33,2025-01-15 18:00:48,Villaggio Burger King,25.26,51.443,Scattered Residence,25.210004,51.403127,34
ORD-STRESS-TIME-34,2025-01-15 18:02:58,Villaggio Burger King,25.26,51.443,Scattered Residence,25.306944,51.424424,31
ORD-STRESS-TIME-35,2025-01-15 18:04:30,Villaggio Burger King,25.26,51.443,Scattered Residence,25.267112,51.401871,29
ORD-STRESS-TIME-36,2025-01-15 18:02:57,Villaggio Burger King,25.26,51.443,Scattered Residence,25.236586,51.465259,27
ORD-STRESS-TIME-37,2025-01-15 18:01:37,Villaggio Burger King,25.26,51.443,Scattered Residence,25.289745,51.479751,30
ORD-STRESS-TIME-38,2025-01-15 18:03:04,Villaggio Burger King,25.26,51.443,Scattered Residence,25.22622,51.478424,30
ORD-STRESS-TIME-39,2025-01-15 18:00:52,Villaggio Burger King,25.26,51.443,Scattered Residence,25.244595,51.42079,26
ORD-STRESS-TIME-40,2025-01-15 18:00:47,Villaggio Burger King,25.26,51.443,Scattered Residence,25.256401,51.457469,23
ORD-STRESS-TIME-41,2025-01-15 18:03:57,Villaggio Burger King,25.26,51.443,Scattered Residence,25.25961,51.408274,27
ORD-STRESS-TIME-42,2025-01-15 18:00:11,Villaggio Burger King,25.26,51.443,Scattered Residence,25.224055,51.423051,29
ORD-STRESS-TIME-43,2025-01-15 18:03:18,Villaggio Burger King,25.26,51.443,Scattered Residence,25.24256,51.46663,26
ORD-STRESS-TIME-44,2025-01-15 18:02:53,Villaggio Burger King,25.26,51.443,Scattered Residence,25.276849,51.489701,31
ORD-STRESS-TIME-45,2025-01-15 18:02:30,Villaggio Burger King,25.26,51.443,Scattered Residence,25.251961,51.443133,21
ORD-STRESS-TIME-46,2025-01-15 18:01:45,Villaggio Burger King,25.26,51.443,Scattered Residence,25.30081,51.425858,29
ORD-STRESS-TIME-47,2025-01-15 18:01:29,Villaggio Burger King,25.26,51.443,Scattered Residence,25.289291,51.485217,31
ORD-STRESS-TIME-48,2025-01-15 18:04:34,Villaggio Burger King,25.26,51.443,Scattered Residence,25.255879,51.450883,21
ORD-STRESS-TIME-49,2025-01-15 18:01:21,Villaggio Burger King,25.26,51.443,Scattered Residence,25.217559,51.488289,33
ORD-STRESS-TIME-50,2025-01-15 18:00:56,Villaggio Burger King,25.26,51.443,Scattered Residence,25.285912,51.445515,25
ORD-STRESS-TIME-51,2025-01-15 18:03:09,Villaggio Burger King,25.26,51.443,Scattered Residence,25.242016,51.434015,24
ORD-STRESS-TIME-52,2025-01-15 18:04:35,Villaggio Burger King,25.26,51.443,Scattered Residence,25.252546,51.426212,24
ORD-STRESS-TIME-53,2025-01-15 18:02:13,Villaggio Burger King,25.26,51.443,Scattered Residence,25.309754,51.41443,32
ORD-STRESS-TIME-54,2025-01-15 18:01:04,Villaggio Burger King,25.26,51.443,Scattered Residence,25.303433,51.435476,29
ORD-STRESS-TIME-55,2025-01-15 18:02:02,Villaggio Burger King,25.26,51.443,Scattered Residence,25.246973,51.467731,26
ORD-STRESS-TIME-56,2025-01-15 18:02:56,Villaggio Burger King,25.26,51.443,Scattered Residence,25.222642,51.448661,28
ORD-STRESS-TIME-57,2025-01-15 18:01:52,Villaggio Burger King,25.26,51.443,Scattered Residence,25.271272,51.466455,25
ORD-STRESS-TIME-58,2025-01-15 18:02:34,Villaggio Burger King,25.26,51.443,Scattered Residence,25.260165,51.441159,20
ORD-STRESS-TIME-59,2025-01-15 18:04:12,Villaggio Burger King,25.26,51.443,Scattered Residence,25.298471,51.433147,28
ORD-STRESS-TIME-60,2025-01-15 18:03:12,Villaggio Burger King,25.26,51.443,Scattered Residence,25.280631,51.42013,26
ORD-STRESS-TIME-61,2025-01-15 18:01:22,Villaggio Burger King,25.26,51.443,Scattered Residence,25.248484,51.4299,23
ORD-STRESS-TIME-62,2025-01-15 18:00:48,Villaggio Burger King,25.26,51.443,Scattered Residence,25.258812,51.486369,29
ORD-STRESS-TIME-63,2025-01-15 18:00:07,Villaggio Burger King,25.26,51.443,Scattered Residence,25.23666,51.456632,26
ORD-STRESS-TIME-64,2025-01-15 18:01:11,Villaggio Burger King,25.26,51.443,Scattered Residence,25.217629,51.450523,29
ORD-STRESS-TIME-65,2025-01-15 18:04:15,Villaggio Burger King,25.26,51.443,Scattered Residence,25.230736,51.461316,27
ORD-STRESS-TIME-66,2025-01-15 18:02:54,Villaggio Burger King,25.26,51.443,Scattered Residence,25.233992,51.443575,25
ORD-STRESS-TIME-67,2025-01-15 18:02:55,Villaggio Burger King,25.26,51.443,Scattered Residence,25.220472,51.486191,32
ORD-STRESS-TIME-68,2025-01-15 18:01:45,Villaggio Burger King,25.26,51.443,Scattered Residence,25.235525,51.423798,26
ORD-STRESS-TIME-69,2025-01-15 18:02:06,Villaggio Burger King,25.26,51.443,Scattered Residence,25.279597,51.478136,28
ORD-STRESS-TIME-70,2025-01-15 18:04:44,Villaggio Burger King,25.26,51.443,Scattered Residence,25.297541,51.444367,28
ORD-STRESS-TIME-71,2025-01-15 18:04:03,Villaggio Burger King,25.26,51.443,Scattered Residence,25.245362,51.479574,28
ORD-STRESS-TIME-72,2025-01-15 18:03:15,Villaggio Burger King,25.26,51.443,Scattered Residence,25.269646,51.477913,28
ORD-STRESS-TIME-73,2025-01-15 18:03:26,Villaggio Burger King,25.26,51.443,Scattered Residence,25.243981,51.407299,28
ORD-STRESS-TIME-74,2025-01-15 18:02:41,Villaggio Burger King,25.26,51.443,Scattered Residence,25.301245,51.491559,34
ORD-STRESS-TIME-75,2025-01-15 18:02:22,Villaggio Burger King,25.26,51.443,Scattered Residence,25.282472,51.452798,25
ORD-STRESS-TIME-76,2025-01-15 18:00:23,Villaggio Burger King,25.26,51.443,Scattered Residence,25.280527,51.454845,25
ORD-STRESS-TIME-77,2025-01-15 18:00:49,Villaggio Burger King,25.26,51.443,Scattered Residence,25.291312,51.439531,26
ORD-STRESS-TIME-78,2025-01-15 18:04:53,Villaggio Burger King,25.26,51.443,Scattered Residence,25.285107,51.453272,26
ORD-STRESS-TIME-79,2025-01-15 18:02:35,Villaggio Burger King,25.26,51.443,Scattered Residence,25.267061,51.448997,22
ORD-STRESS-TIME-80,2025-01-15 18:03:12,Villaggio Burger King,25.26,51.443,Scattered Residence,25.297455,51.436486,28
ORD-STRESS-TIME-81,2025-01-15 18:03:53,Villaggio Burger King,25.26,51.443,Scattered Residence,25.253097,51.397956,30
ORD-STRESS-TIME-82,2025-01-15 18:01:46,Villaggio Burger King,25.26,51.443,Scattered Residence,25.275744,51.403025,29
ORD-STRESS-TIME-83,2025-01-15 18:03:03,Villaggio Burger King,25.26,51.443,Scattered Residence,25.269848,51.400443,29
ORD-STRESS-TIME-84,2025-01-15 18:00:12,Villaggio Burger King,25.26,51.443,Scattered Residence,25.252704,51.452731,22
ORD-STRESS-TIME-85,2025-01-15 18:02:14,Villaggio Burger King,25.26,51.443,Scattered Residence,25.231406,51.408274,29
ORD-STRESS-TIME-86,2025-01-15 18:04:23,Villaggio Burger King,25.26,51.443,Scattered Residence,25.293327,51.412113,30
ORD-STRESS-TIME-87,2025-01-15 18:01:22,Villaggio Burger King,25.26,51.443,Scattered Residence,25.213483,51.461031,31
ORD-STRESS-TIME-88,2025-01-15 18:01:01,Villaggio Burger King,25.26,51.443,Scattered Residence,25.264926,51.411209,27
ORD-STRESS-TIME-89,2025-01-15 18:02:12,Villaggio Burger King,25.26,51.443,Scattered Residence,25.254301,51.460421,24
ORD-STRESS-TIME-90,2025-01-15 18:01:21,Villaggio Burger King,25.26,51.443,Scattered Residence,25.263429,51.47725,27
ORD-STRESS-TIME-91,2025-01-15 18:03:17,Villaggio Burger King,25.26,51.443,Scattered Residence,25.233414,51.454042,26
ORD-STRESS-TIME-92,2025-01-15 18:03:37,Villaggio Burger King,25.26,51.443,Scattered Residence,25.23228,51.425393,27
ORD-STRESS-TIME-93,2025-01-15 18:03:52,Villaggio Burger King,25.26,51.443,Scattered Residence,25.22014,51.456311,29
ORD-STRESS-TIME-94,2025-01-15 18:01:23,Villaggio Burger King,25.26,51.443,Scattered Residence,25.236148,51.417947,27
ORD-STRESS-TIME-95,2025-01-15 18:03:01,Villaggio Burger King,25.26,51.443,Scattered Residence,25.258908,51.447742,21
ORD-STRESS-TIME-96,2025-01-15 18:02:50,Villaggio Burger King,25.26,51.443,Scattered Residence,25.243904,51.465987,26
ORD-STRESS-TIME-97,2025-01-15 18:03:39,Villaggio Burger King,25.26,51.443,Scattered Residence,25.226229,51.431311,27
