Scenario,Orders,Drivers,Ratio,Strategy,Total Distance (km),Total Distance (km) vs Baseline %,Avg Delivery Time (min),Avg Delivery Time (min) vs Baseline %,Median Delivery Time (min),Median Delivery Time (min) vs Baseline %,P95 Delivery Time (min),P95 Delivery Time (min) vs Baseline %,Drivers Used,Drivers Used vs Baseline %,Orders/Driver,Orders/Driver vs Baseline %,On-Time Rate %,On-Time Rate % vs Baseline %,Late >45m Count,Late >45m Count vs Baseline %,Late >60m Count,Late >60m Count vs Baseline %,Fleet Utilization %,Fleet Utilization % vs Baseline %,Distance/Driver (km),Distance/Driver (km) vs Baseline %,Std Dev Time (min),Std Dev Time (min) vs Baseline %
Hybrid_100_50Drivers,100,50,2.0,baseline,946.63,0.0,22.77,0.0,18.69,0.0,50.63,0.0,50,0.0,2.0,0.0,75.0,0.0,8,0.0,0,0,26.68,0.0,18.93,0.0,12.38,0.0
Hybrid_100_50Drivers,100,50,2.0,sequential,927.93,-1.98,24.57,7.91,19.57,4.71,48.98,-3.26,47,-6.0,2.13,6.5,67.0,-10.67,13,62.5,0,0,27.04,1.35,19.74,4.28,13.41,8.32
Hybrid_100_50Drivers,100,50,2.0,combinatorial,923.27,-2.47,24.71,8.52,19.57,4.71,50.63,0.0,47,-6.0,2.13,6.5,67.0,-10.67,12,50.0,0,0,26.61,-0.26,19.64,3.75,13.61,9.94
Hybrid_100_50Drivers,100,50,2.0,adaptive,916.66,-3.17,24.32,6.81,19.22,2.84,50.63,0.0,47,-6.0,2.13,6.5,69.0,-8.0,11,37.5,0,0,26.36,-1.2,19.5,3.01,13.37,8.0
Clean_100,100,100,1.0,baseline,399.03,0.0,13.4,0.0,11.57,0.0,28.65,0.0,64,0.0,1.56,0.0,97.0,0.0,0,0,0,0,9.03,0.0,6.23,0.0,6.32,0.0
Clean_100,100,100,1.0,sequential,410.47,2.87,13.91,3.81,12.1,4.58,29.45,2.79,60,-6.25,1.67,7.05,96.0,-1.03,1,0,0,0,8.49,-5.98,6.84,9.79,7.58,19.94
Clean_100,100,100,1.0,combinatorial,420.3,5.33,14.69,9.63,12.71,9.85,37.72,31.66,58,-9.38,1.72,10.26,94.0,-3.09,2,0,0,0,8.66,-4.1,7.25,16.37,8.28,31.01
Clean_100,100,100,1.0,adaptive,421.56,5.65,14.59,8.88,12.5,8.04,37.72,31.66,59,-7.81,1.69,8.33,95.0,-2.06,2,0,0,0,8.65,-4.21,7.15,14.77,8.07,27.69
Hybrid_100_FullDrivers,100,100,1.0,baseline,760.5,0.0,19.55,0.0,14.97,0.0,42.62,0.0,68,0.0,1.47,0.0,80.0,0.0,3,0.0,0,0,11.41,0.0,11.18,0.0,11.14,0.0
Hybrid_100_FullDrivers,100,100,1.0,sequential,782.92,2.95,20.81,6.45,15.53,3.74,44.72,4.93,63,-7.35,1.59,8.16,74.0,-7.5,4,33.33,0,0,11.73,2.8,12.43,11.18,12.22,9.69
Hybrid_100_FullDrivers,100,100,1.0,combinatorial,780.94,2.69,21.29,8.9,15.68,4.74,44.98,5.54,63,-7.35,1.59,8.16,72.0,-10.0,4,33.33,0,0,11.67,2.28,12.4,10.91,12.25,9.96
Hybrid_100_FullDrivers,100,100,1.0,adaptive,780.94,2.69,21.29,8.9,15.68,4.74,44.98,5.54,63,-7.35,1.59,8.16,72.0,-10.0,4,33.33,0,0,11.67,2.28,12.4,10.91,12.25,9.96
Spread_100,100,100,1.0,baseline,581.06,0.0,16.38,0.0,15.11,0.0,29.45,0.0,69,0.0,1.45,0.0,98.0,0.0,0,0,0,0,10.34,0.0,8.42,0.0,6.48,0.0
Spread_100,100,100,1.0,sequential,598.75,3.04,18.77,14.59,15.83,4.77,42.98,45.94,65,-5.8,1.54,6.21,87.0,-11.22,3,0,0,0,10.71,3.58,9.21,9.38,9.38,44.75
Spread_100,100,100,1.0,combinatorial,587.82,1.16,19.71,20.33,16.32,8.01,43.77,48.62,63,-8.7,1.59,9.66,85.0,-13.27,3,0,0,0,10.82,4.64,9.33,10.81,9.94,53.4
Spread_100,100,100,1.0,adaptive,578.5,-0.44,18.87,15.2,16.32,8.01,42.95,45.84,64,-7.25,1.56,7.59,90.0,-8.16,2,0,0,0,10.41,0.68,9.04,7.36,8.91,37.5
Clean_500,500,500,1.0,baseline,2186.35,0.0,14.12,0.0,11.54,0.0,29.52,0.0,347,0.0,1.44,0.0,95.6,0.0,0,0,0,0,8.79,0.0,6.3,0.0,7.09,0.0
Clean_500,500,500,1.0,sequential,2237.34,2.33,14.95,5.88,11.81,2.34,34.5,16.87,276,-20.46,1.81,25.69,93.4,-2.3,6,0,0,0,8.64,-1.71,8.11,28.73,8.43,18.9
Hybrid_300,300,300,1.0,baseline,2166.89,0.0,18.92,0.0,14.72,0.0,39.88,0.0,210,0.0,1.43,0.0,80.67,0.0,9,0.0,0,0,11.17,0.0,10.32,0.0,11.04,0.0
Hybrid_300,300,300,1.0,sequential,2215.82,2.26,20.24,6.98,15.77,7.13,45.63,14.42,178,-15.24,1.69,18.18,76.67,-4.96,16,77.78,0,0,11.46,2.6,12.45,20.64,12.13,9.87
Spread_300,300,300,1.0,baseline,1533.81,0.0,15.29,0.0,14.52,0.0,23.88,0.0,218,0.0,1.38,0.0,99.0,0.0,0,0,0,0,10.06,0.0,7.04,0.0,4.95,0.0
Spread_300,300,300,1.0,sequential,1529.02,-0.31,18.84,23.22,15.54,7.02,42.72,78.89,179,-17.89,1.68,21.74,85.33,-13.81,7,0,0,0,9.28,-7.75,8.54,21.31,9.73,96.57
